Time Rate1 Rate2 Rate3 Rate4 Rate5 Rate6
81661.6 21 14 22 312 24 19
81661.7 26 24 28 296 26 27
81661.8 28 25 20 296 22 18
81661.9 20 20 20 312 30 22
81662.0 30 28 26 360 22 30
81662.1 27 21 24 312 23 20
81662.2 27 25 19 312 19 16
81662.3 26 23 26 360 22 22
81662.4 20 23 24 344 31 25
81662.5 18 22 22 328 23 15
81662.6 14 28 26 344 29 18
81662.7 22 23 19 344 22 24
81662.8 21 22 27 344 24 24
81662.9 19 35 23 376 23 19
81663.0 19 37 26 296 22 30
81663.1 28 26 29 328 21 19
81663.2 23 20 27 312 27 24
81663.3 25 31 29 344 35 24
81663.4 22 35 25 376 33 27
81663.5 29 35 29 360 25 33
81663.6 22 29 19 312 23 17
81663.7 28 19 20 344 29 23
81663.8 28 25 19 360 29 29
81663.9 29 24 26 344 23 15
81664.0 29 26 31 344 23 23
81664.1 27 17 20 360 15 29
81664.2 35 20 30 360 23 20
81664.3 33 24 30 360 30 37
81664.4 26 20 19 376 35 25
81664.5 25 28 31 376 33 24
81664.6 20 35 27 376 27 21
81664.7 33 14 33 376 20 22
81664.8 22 19 21 344 25 27
81664.9 35 21 29 360 26 24
81665.0 28 33 22 376 26 27
81665.1 23 26 26 376 25 33
81665.2 25 28 18 376 25 28
81665.3 18 27 21 392 33 25
81665.4 43 26 22 376 30 28
81665.5 28 33 31 376 35 20
81665.6 19 20 26 376 28 26
81665.7 35 31 33 360 21 24
81665.8 26 28 27 376 27 23
81665.9 24 37 19 376 19 19
81666.0 26 37 30 408 30 30
81666.1 25 29 26 392 27 35
81666.2 23 33 29 408 35 24
81666.3 24 28 24 376 17 30
81666.4 33 39 23 376 24 26
81666.5 28 37 30 392 30 35
81666.6 26 26 29 376 29 28
81666.7 33 23 35 440 26 25
81666.8 30 22 35 392 31 27
81666.9 21 30 37 392 31 24
81667.0 31 19 29 408 22 30
81667.1 33 29 29 392 31 24
81667.2 27 27 31 424 35 21
81667.3 20 28 23 376 23 29
81667.4 29 25 29 392 28 39
81667.5 26 25 28 360 27 25
81667.6 31 23 25 424 22 35
81667.7 29 26 30 424 33 31
81667.8 27 35 35 392 29 35
81667.9 35 27 27 376 27 25
81668.0 30 21 21 424 22 33
81668.1 35 41 37 424 22 39
81668.2 25 28 41 424 31 25
81668.3 29 35 33 392 27 26
81668.4 20 33 31 424 33 24
81668.5 33 33 30 440 30 43
81668.6 37 28 27 440 25 28
81668.7 29 30 29 424 39 37
81668.8 31 35 37 424 28 28
81668.9 29 22 41 456 41 24
81669.0 23 30 28 456 39 26
81669.1 27 24 31 424 37 26
81669.2 26 33 39 424 29 37
81669.3 37 22 31 408 35 27
81669.4 43 39 37 392 29 37
81669.5 25 39 30 472 26 24
81669.6 33 33 35 440 37 25
81669.7 33 33 26 408 30 28
81669.8 33 30 31 472 41 39
81669.9 33 31 28 456 39 28
81670.0 30 29 28 456 33 37
81670.1 37 33 39 440 39 39
81670.2 31 30 25 440 37 33
81670.3 33 37 28 440 43 31
81670.4 28 30 39 440 24 35
81670.5 25 28 33 504 39 30
81670.6 37 30 35 472 31 19
81670.7 39 31 28 440 31 27
81670.8 37 35 33 504 23 39
81670.9 31 35 35 456 24 31
81671.0 37 43 35 472 45 21
81671.1 41 28 33 456 27 39
81671.2 31 35 25 472 26 25
81671.3 43 41 17 504 53 29
81671.4 29 37 31 504 37 33
81671.5 27 39 43 488 41 37
81671.6 28 24 39 560 43 33
81671.7 33 35 37 472 28 33
81671.8 35 45 33 528 37 37
81671.9 43 30 43 488 35 31
81672.0 26 45 29 488 33 41
81672.1 37 47 31 472 33 37
81672.2 31 24 41 472 47 30
81672.3 25 39 28 456 41 31
81672.4 28 35 30 504 39 33
81672.5 29 43 29 504 33 33
81672.6 35 45 39 504 39 41
81672.7 39 33 41 504 30 41
81672.8 37 37 28 504 37 37
81672.9 33 26 29 456 39 39
81673.0 41 39 41 488 41 37
81673.1 33 39 39 528 29 27
81673.2 39 33 33 488 35 39
81673.3 39 27 41 528 37 41
81673.4 28 33 37 504 41 45
81673.5 43 33 43 504 33 35
81673.6 27 35 37 528 39 43
81673.7 33 24 53 488 37 33
81673.8 30 43 43 528 37 41
81673.9 39 41 35 560 29 43
81674.0 30 47 37 528 47 35
81674.1 45 33 45 528 30 39
81674.2 30 39 53 528 49 45
81674.3 35 49 29 528 23 47
